1.1 א  בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ.	1 In the beginning God created the heaven and the earth.
1.31 לא  וַיַּרְא אֱלֹהִים אֶת-כָּל-אֲשֶׁר עָשָׂה, וְהִנֵּה-טוֹב מְאֹד; וַיְהִי-עֶרֶב וַיְהִי-בֹקֶר, יוֹם הַשִּׁשִּׁי.  {פ}	31 And God saw every thing that He had made, and, behold, it was very good. And there was evening and there was morning, the sixth day. {P}
2.1 א  וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ, וְכָל-צְבָאָם.	1 And the heaven and the earth were finished, and all the host of them.
2.2 ב  וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי, מְלַאכְתּוֹ אֲשֶׁר עָשָׂה; וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי, מִכָּל-מְלַאכְתּוֹ אֲשֶׁר עָשָׂה.	2 And on the seventh day God finished His work which He had made; and He rested on the seventh day from all His work which He had made.
2.3 ג  וַיְבָרֶךְ אֱלֹהִים אֶת-יוֹם הַשְּׁבִיעִי, וַיְקַדֵּשׁ אֹתוֹ:  כִּי בוֹ שָׁבַת מִכָּל-מְלַאכְתּוֹ, אֲשֶׁר-בָּרָא אֱלֹהִים לַעֲשׂוֹת.  {פ}	3 And God blessed the seventh day, and hallowed it; because that in it He rested from all His work which God in creating had made. {P}
2.4 ד  אֵלֶּה תוֹלְדוֹת הַשָּׁמַיִם וְהָאָרֶץ, בְּהִבָּרְאָם:  בְּיוֹם, עֲשׂוֹת יְהוָה אֱלֹהִים--אֶרֶץ וְשָׁמָיִם.	4 These are the generations of the heaven and of the earth when they were created, in the day that the LORD God made earth and heaven.
2.5 ה  וְכֹל שִׂיחַ הַשָּׂדֶה, טֶרֶם יִהְיֶה בָאָרֶץ, וְכָל-עֵשֶׂב הַשָּׂדֶה, טֶרֶם יִצְמָח:  כִּי לֹא הִמְטִיר יְהוָה אֱלֹהִים, עַל-הָאָרֶץ, וְאָדָם אַיִן, לַעֲבֹד אֶת-הָאֲדָמָה.	5 No shrub of the field was yet in the earth, and no herb of the field had yet sprung up; for the LORD God had not caused it to rain upon the earth, and there was not a man to till the ground;
2.6 ו  וְאֵד, יַעֲלֶה מִן-הָאָרֶץ, וְהִשְׁקָה, אֶת-כָּל-פְּנֵי הָאֲדָמָה.	6 but there went up a mist from the earth, and watered the whole face of the ground.
2.7 ז  וַיִּיצֶר יְהוָה אֱלֹהִים אֶת-הָאָדָם, עָפָר מִן-הָאֲדָמָה, וַיִּפַּח בְּאַפָּיו, נִשְׁמַת חַיִּים; וַיְהִי הָאָדָם, לְנֶפֶשׁ חַיָּה.	7 Then the LORD God formed man of the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.
2.8 ח  וַיִּטַּע יְהוָה אֱלֹהִים, גַּן-בְּעֵדֶן--מִקֶּדֶם; וַיָּשֶׂם שָׁם, אֶת-הָאָדָם אֲשֶׁר יָצָר.	8 And the LORD God planted a garden eastward, in Eden; and there He put the man whom He had formed.
2.9 ט  וַיַּצְמַח יְהוָה אֱלֹהִים, מִן-הָאֲדָמָה, כָּל-עֵץ נֶחְמָד לְמַרְאֶה, וְטוֹב לְמַאֲכָל--וְעֵץ הַחַיִּים, בְּתוֹךְ הַגָּן, וְעֵץ, הַדַּעַת טוֹב וָרָע.	9 And out of the ground made the LORD God to grow every tree that is pleasant to the sight, and good for food; the tree of life also in the midst of the garden, and the tree of the knowledge of good and evil.
2.10 י  וְנָהָר יֹצֵא מֵעֵדֶן, לְהַשְׁקוֹת אֶת-הַגָּן; וּמִשָּׁם, יִפָּרֵד, וְהָיָה, לְאַרְבָּעָה רָאשִׁים.	10 And a river went out of Eden to water the garden; and from thence it was parted, and became four heads.
2.11 יא  שֵׁם הָאֶחָד, פִּישׁוֹן--הוּא הַסֹּבֵב, אֵת כָּל-אֶרֶץ הַחֲוִילָה, אֲשֶׁר-שָׁם, הַזָּהָב.	11 The name of the first is Pishon; that is it which compasseth the whole land of Havilah, where there is gold;
2.12 יב  וּזְהַב הָאָרֶץ הַהִוא, טוֹב; שָׁם הַבְּדֹלַח, וְאֶבֶן הַשֹּׁהַם.	12 and the gold of that land is good; there is bdellium and the onyx stone.
2.13 יג  וְשֵׁם-הַנָּהָר הַשֵּׁנִי, גִּיחוֹן--הוּא הַסּוֹבֵב, אֵת כָּל-אֶרֶץ כּוּשׁ.	13 And the name of the second river is Gihon; the same is it that compasseth the whole land of Cush.
2.14 יד  וְשֵׁם הַנָּהָר הַשְּׁלִישִׁי חִדֶּקֶל, הוּא הַהֹלֵךְ קִדְמַת אַשּׁוּר; וְהַנָּהָר הָרְבִיעִי, הוּא פְרָת.	14 And the name of the third river is Tigris; that is it which goeth toward the east of Asshur. And the fourth river is the Euphrates.
2.15 טו  וַיִּקַּח יְהוָה אֱלֹהִים, אֶת-הָאָדָם; וַיַּנִּחֵהוּ בְגַן-עֵדֶן, לְעָבְדָהּ וּלְשָׁמְרָהּ.	15 And the LORD God took the man, and put him into the garden of Eden to dress it and to keep it.
2.16 טז  וַיְצַו יְהוָה אֱלֹהִים, עַל-הָאָדָם לֵאמֹר:  מִכֹּל עֵץ-הַגָּן, אָכֹל תֹּאכֵל.	16 And the LORD God commanded the man, saying: 'Of every tree of the garden thou mayest freely eat;
2.17 יז  וּמֵעֵץ, הַדַּעַת טוֹב וָרָע--לֹא תֹאכַל, מִמֶּנּוּ:  כִּי, בְּיוֹם אֲכָלְךָ מִמֶּנּוּ--מוֹת תָּמוּת.	17 but of the tree of the knowledge of good and evil, thou shalt not eat of it; for in the day that thou eatest thereof thou shalt surely die.'
2.18 יח  וַיֹּאמֶר יְהוָה אֱלֹהִים, לֹא-טוֹב הֱיוֹת הָאָדָם לְבַדּוֹ; אֶעֱשֶׂה-לּוֹ עֵזֶר, כְּנֶגְדּוֹ.	18 And the LORD God said: 'It is not good that the man should be alone; I will make him a help meet for him.'
2.19 יט  וַיִּצֶר יְהוָה אֱלֹהִים מִן-הָאֲדָמָה, כָּל-חַיַּת הַשָּׂדֶה וְאֵת כָּל-עוֹף הַשָּׁמַיִם, וַיָּבֵא אֶל-הָאָדָם, לִרְאוֹת מַה-יִּקְרָא-לוֹ; וְכֹל אֲשֶׁר יִקְרָא-לוֹ הָאָדָם נֶפֶשׁ חַיָּה, הוּא שְׁמוֹ.	19 And out of the ground the LORD God formed every beast of the field, and every fowl of the air; and brought them unto the man to see what he would call them; and whatsoever the man would call every living creature, that was to be the name thereof.
2.20 כ  וַיִּקְרָא הָאָדָם שֵׁמוֹת, לְכָל-הַבְּהֵמָה וּלְעוֹף הַשָּׁמַיִם, וּלְכֹל, חַיַּת הַשָּׂדֶה; וּלְאָדָם, לֹא-מָצָא עֵזֶר כְּנֶגְדּוֹ.	20 And the man gave names to all cattle, and to the fowl of the air, and to every beast of the field; but for Adam there was not found a help meet for him.
2.21 כא  וַיַּפֵּל יְהוָה אֱלֹהִים תַּרְדֵּמָה עַל-הָאָדָם, וַיִּישָׁן; וַיִּקַּח, אַחַת מִצַּלְעֹתָיו, וַיִּסְגֹּר בָּשָׂר, תַּחְתֶּנָּה.	21 And the LORD God caused a deep sleep to fall upon the man, and he slept; and He took one of his ribs, and closed up the place with flesh instead thereof.
2.22 כב  וַיִּבֶן יְהוָה אֱלֹהִים אֶת-הַצֵּלָע אֲשֶׁר-לָקַח מִן-הָאָדָם, לְאִשָּׁה; וַיְבִאֶהָ, אֶל-הָאָדָם.	22 And the rib, which the LORD God had taken from the man, made He a woman, and brought her unto the man.
2.23 כג  וַיֹּאמֶר, הָאָדָם, זֹאת הַפַּעַם עֶצֶם מֵעֲצָמַי, וּבָשָׂר מִבְּשָׂרִי; לְזֹאת יִקָּרֵא אִשָּׁה, כִּי מֵאִישׁ לֻקְחָה-זֹּאת.	23 And the man said: 'This is now bone of my bones, and flesh of my flesh; she shall be called Woman, because she was taken out of Man.'
2.24 כד  עַל-כֵּן, יַעֲזָב-אִישׁ, אֶת-אָבִיו, וְאֶת-אִמּוֹ; וְדָבַק בְּאִשְׁתּוֹ, וְהָיוּ לְבָשָׂר אֶחָד.	24 Therefore shall a man leave his father and his mother, and shall cleave unto his wife, and they shall be one flesh.
2.25 כה  וַיִּהְיוּ שְׁנֵיהֶם עֲרוּמִּים, הָאָדָם וְאִשְׁתּוֹ; וְלֹא, יִתְבֹּשָׁשׁוּ.	25 And they were both naked, the man and his wife, and were not ashamed.
3.1 א  וְהַנָּחָשׁ, הָיָה עָרוּם, מִכֹּל חַיַּת הַשָּׂדֶה, אֲשֶׁר עָשָׂה יְהוָה אֱלֹהִים; וַיֹּאמֶר, אֶל-הָאִשָּׁה, אַף כִּי-אָמַר אֱלֹהִים, לֹא תֹאכְלוּ מִכֹּל עֵץ הַגָּן.	1 Now the serpent was more subtle than any beast of the field which the LORD God had made. And he said unto the woman: 'Yea, hath God said: Ye shall not eat of any tree of the garden?'
3.2 ב  וַתֹּאמֶר הָאִשָּׁה, אֶל-הַנָּחָשׁ:  מִפְּרִי עֵץ-הַגָּן, נֹאכֵל.	2 And the woman said unto the serpent: 'Of the fruit of the trees of the garden we may eat;
3.3 ג  וּמִפְּרִי הָעֵץ, אֲשֶׁר בְּתוֹךְ-הַגָּן--אָמַר אֱלֹהִים לֹא תֹאכְלוּ מִמֶּנּוּ, וְלֹא תִגְּעוּ בּוֹ:  פֶּן-תְּמֻתוּן.	3 but of the fruit of the tree which is in the midst of the garden, God hath said: Ye shall not eat of it, neither shall ye touch it, lest ye die.'
3.4 ד  וַיֹּאמֶר הַנָּחָשׁ, אֶל-הָאִשָּׁה:  לֹא-מוֹת, תְּמֻתוּן.	4 And the serpent said unto the woman: 'Ye shall not surely die;
3.5 ה  כִּי, יֹדֵעַ אֱלֹהִים, כִּי בְּיוֹם אֲכָלְכֶם מִמֶּנּוּ, וְנִפְקְחוּ עֵינֵיכֶם; וִהְיִיתֶם, כֵּאלֹהִים, יֹדְעֵי, טוֹב וָרָע.	5 for God doth know that in the day ye eat thereof, then your eyes shall be opened, and ye shall be as God, knowing good and evil.'
3.6 ו  וַתֵּרֶא הָאִשָּׁה כִּי טוֹב הָעֵץ לְמַאֲכָל וְכִי תַאֲוָה-הוּא לָעֵינַיִם, וְנֶחְמָד הָעֵץ לְהַשְׂכִּיל, וַתִּקַּח מִפִּרְיוֹ, וַתֹּאכַל; וַתִּתֵּן גַּם-לְאִישָׁהּ עִמָּהּ, וַיֹּאכַל.	6 And when the woman saw that the tree was good for food, and that it was a delight to the eyes, and that the tree was to be desired to make one wise, she took of the fruit thereof, and did eat; and she gave also unto her husband with her, and he did eat.
3.7 ז  וַתִּפָּקַחְנָה, עֵינֵי שְׁנֵיהֶם, וַיֵּדְעוּ, כִּי עֵירֻמִּם הֵם; וַיִּתְפְּרוּ עֲלֵה תְאֵנָה, וַיַּעֲשׂוּ לָהֶם חֲגֹרֹת.	7 And the eyes of them both were opened, and they knew that they were naked; and they sewed fig-leaves together, and made themselves girdles.
3.8 ח  וַיִּשְׁמְעוּ אֶת-קוֹל יְהוָה אֱלֹהִים, מִתְהַלֵּךְ בַּגָּן--לְרוּחַ הַיּוֹם; וַיִּתְחַבֵּא הָאָדָם וְאִשְׁתּוֹ, מִפְּנֵי יְהוָה אֱלֹהִים, בְּתוֹךְ, עֵץ הַגָּן.	8 And they heard the voice of the LORD God walking in the garden toward the cool of the day; and the man and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.
3.9 ט  וַיִּקְרָא יְהוָה אֱלֹהִים, אֶל-הָאָדָם; וַיֹּאמֶר לוֹ, אַיֶּכָּה.	9 And the LORD God called unto the man, and said unto him: 'Where art thou?'
3.10 י  וַיֹּאמֶר, אֶת-קֹלְךָ שָׁמַעְתִּי בַּגָּן; וָאִירָא כִּי-עֵירֹם אָנֹכִי, וָאֵחָבֵא.	10 And he said: 'I heard Thy voice in the garden, and I was afraid, because I was naked; and I hid myself.'
3.11 יא  וַיֹּאמֶר--מִי הִגִּיד לְךָ, כִּי עֵירֹם אָתָּה; הֲמִן-הָעֵץ, אֲשֶׁר צִוִּיתִיךָ לְבִלְתִּי אֲכָל-מִמֶּנּוּ--אָכָלְתָּ.	11 And He said: 'Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?'
3.12 יב  וַיֹּאמֶר, הָאָדָם:  הָאִשָּׁה אֲשֶׁר נָתַתָּה עִמָּדִי, הִוא נָתְנָה-לִּי מִן-הָעֵץ וָאֹכֵל.	12 And the man said: 'The woman whom Thou gavest to be with me, she gave me of the tree, and I did eat.'
3.13 יג  וַיֹּאמֶר יְהוָה אֱלֹהִים לָאִשָּׁה, מַה-זֹּאת עָשִׂית; וַתֹּאמֶר, הָאִשָּׁה, הַנָּחָשׁ הִשִּׁיאַנִי, וָאֹכֵל.	13 And the LORD God said unto the woman: 'What is this thou hast done?' And the woman said: 'The serpent beguiled me, and I did eat.'
3.14 יד  וַיֹּאמֶר יְהוָה אֱלֹהִים אֶל-הַנָּחָשׁ, כִּי עָשִׂיתָ זֹּאת, אָרוּר אַתָּה מִכָּל-הַבְּהֵמָה, וּמִכֹּל חַיַּת הַשָּׂדֶה; עַל-גְּחֹנְךָ תֵלֵךְ, וְעָפָר תֹּאכַל כָּל-יְמֵי חַיֶּיךָ.	14 And the LORD God said unto the serpent: 'Because thou hast done this, cursed art thou from among all cattle, and from among all beasts of the field; upon thy belly shalt thou go, and dust shalt thou eat all the days of thy life.
3.15 טו  וְאֵיבָה אָשִׁית, בֵּינְךָ וּבֵין הָאִשָּׁה, וּבֵין זַרְעֲךָ, וּבֵין זַרְעָהּ:  הוּא יְשׁוּפְךָ רֹאשׁ, וְאַתָּה תְּשׁוּפֶנּוּ עָקֵב.  {ס}	15 And I will put enmity between thee and the woman, and between thy seed and her seed; they shall bruise thy head, and thou shalt bruise their heel.' {S}
3.16 טז  אֶל-הָאִשָּׁה אָמַר, הַרְבָּה אַרְבֶּה עִצְּבוֹנֵךְ וְהֵרֹנֵךְ--בְּעֶצֶב, תֵּלְדִי בָנִים; וְאֶל-אִישֵׁךְ, תְּשׁוּקָתֵךְ, וְהוּא, יִמְשָׁל-בָּךְ.  {ס}	16 Unto the woman He said: 'I will greatly multiply thy pain and thy travail; in pain thou shalt bring forth children; and thy desire shall be to thy husband, and he shall rule over thee.' {S}
3.17 יז  וּלְאָדָם אָמַר, כִּי-שָׁמַעְתָּ לְקוֹל אִשְׁתֶּךָ, וַתֹּאכַל מִן-הָעֵץ, אֲשֶׁר צִוִּיתִיךָ לֵאמֹר לֹא תֹאכַל מִמֶּנּוּ--אֲרוּרָה הָאֲדָמָה, בַּעֲבוּרֶךָ, בְּעִצָּבוֹן תֹּאכְלֶנָּה, כֹּל יְמֵי חַיֶּיךָ.	17 And unto Adam He said: 'Because thou hast hearkened unto the voice of thy wife, and hast eaten of the tree, of which I commanded thee, saying: Thou shalt not eat of it; cursed is the ground for thy sake; in toil shalt thou eat of it all the days of thy life.
3.18 יח  וְקוֹץ וְדַרְדַּר, תַּצְמִיחַ לָךְ; וְאָכַלְתָּ, אֶת-עֵשֶׂב הַשָּׂדֶה.	18 Thorns also and thistles shall it bring forth to thee; and thou shalt eat the herb of the field.
3.19 יט  בְּזֵעַת אַפֶּיךָ, תֹּאכַל לֶחֶם, עַד שׁוּבְךָ אֶל-הָאֲדָמָה, כִּי מִמֶּנָּה לֻקָּחְתָּ:  כִּי-עָפָר אַתָּה, וְאֶל-עָפָר תָּשׁוּב.	19 In the sweat of thy face shalt thou eat bread, till thou return unto the ground; for out of it wast thou taken; for dust thou art, and unto dust shalt thou return.'
3.20 כ  וַיִּקְרָא הָאָדָם שֵׁם אִשְׁתּוֹ, חַוָּה:  כִּי הִוא הָיְתָה, אֵם כָּל-חָי.	20 And the man called his wife's name Eve; because she was the mother of all living.
3.21 כא  וַיַּעַשׂ יְהוָה אֱלֹהִים לְאָדָם וּלְאִשְׁתּוֹ, כָּתְנוֹת עוֹר--וַיַּלְבִּשֵׁם.  {פ}	21 And the LORD God made for Adam and for his wife garments of skins, and clothed them. {P}
3.22 כב  וַיֹּאמֶר יְהוָה אֱלֹהִים, הֵן הָאָדָם הָיָה כְּאַחַד מִמֶּנּוּ, לָדַעַת, טוֹב וָרָע; וְעַתָּה פֶּן-יִשְׁלַח יָדוֹ, וְלָקַח גַּם מֵעֵץ הַחַיִּים, וְאָכַל, וָחַי לְעֹלָם.	22 And the LORD God said: 'Behold, the man is become as one of us, to know good and evil; and now, lest he put forth his hand, and take also of the tree of life, and eat, and live for ever.'
3.23 כג  וַיְשַׁלְּחֵהוּ יְהוָה אֱלֹהִים, מִגַּן-עֵדֶן--לַעֲבֹד, אֶת-הָאֲדָמָה, אֲשֶׁר לֻקַּח, מִשָּׁם.	23 Therefore the LORD God sent him forth from the garden of Eden, to till the ground from whence he was taken.
3.24 כד  וַיְגָרֶשׁ, אֶת-הָאָדָם; וַיַּשְׁכֵּן מִקֶּדֶם לְגַן-עֵדֶן אֶת-הַכְּרֻבִים, וְאֵת לַהַט הַחֶרֶב הַמִּתְהַפֶּכֶת, לִשְׁמֹר, אֶת-דֶּרֶךְ עֵץ הַחַיִּים.  {ס}	24 So He drove out the man; and He placed at the east of the garden of Eden the cherubim, and the flaming sword which turned every way, to keep the way to the tree of life. {S}
