1.1 א  שִׁיר הַשִּׁירִים, אֲשֶׁר לִשְׁלֹמֹה.	1 The song of songs, which is Solomon's.
2.5 ה  סַמְּכוּנִי, בָּאֲשִׁישׁוֹת--רַפְּדוּנִי, בַּתַּפּוּחִים:  כִּי-חוֹלַת אַהֲבָה, אָנִי.	5 'Stay ye me with dainties, refresh me with apples; for I am love-sick.'
2.6 ו  שְׂמֹאלוֹ תַּחַת לְרֹאשִׁי, וִימִינוֹ תְּחַבְּקֵנִי.	6 Let his left hand be under my head, and his right hand embrace me.
2.7 ז  הִשְׁבַּעְתִּי אֶתְכֶם בְּנוֹת יְרוּשָׁלִַם, בִּצְבָאוֹת, אוֹ, בְּאַיְלוֹת הַשָּׂדֶה:  אִם-תָּעִירוּ וְאִם-תְּעוֹרְרוּ אֶת-הָאַהֲבָה, עַד שֶׁתֶּחְפָּץ.  {ס}	7 'I adjure you, O daughters of Jerusalem, by the gazelles, and by the hinds of the field, that ye awaken not, nor stir up love, until it please.' {S}
2.8 ח  קוֹל דּוֹדִי, הִנֵּה-זֶה בָּא; מְדַלֵּג, עַל-הֶהָרִים--מְקַפֵּץ, עַל-הַגְּבָעוֹת.	8 Hark! my beloved! behold, he cometh, leaping upon the mountains, skipping upon the hills.
2.9 ט  דּוֹמֶה דוֹדִי לִצְבִי, אוֹ לְעֹפֶר הָאַיָּלִים; הִנֵּה-זֶה עוֹמֵד, אַחַר כָּתְלֵנוּ--מַשְׁגִּיחַ מִן-הַחַלֹּנוֹת, מֵצִיץ מִן-הַחֲרַכִּים.	9 My beloved is like a gazelle or a young hart; behold, he standeth behind our wall, he looketh in through the windows, he peereth through the lattice.
2.10 י  עָנָה דוֹדִי, וְאָמַר לִי:  קוּמִי לָךְ רַעְיָתִי יָפָתִי, וּלְכִי-לָךְ.	10 My beloved spoke, and said unto me: 'Rise up, my love, my fair one, and come away.
2.11 יא  כִּי-הִנֵּה הַסְּתָו, עָבָר; הַגֶּשֶׁם, חָלַף הָלַךְ לוֹ.	11 For, lo, the winter is past, the rain is over and gone;
2.12 יב  הַנִּצָּנִים נִרְאוּ בָאָרֶץ, עֵת הַזָּמִיר הִגִּיעַ; וְקוֹל הַתּוֹר, נִשְׁמַע בְּאַרְצֵנוּ.	12 The flowers appear on the earth; the time of singing is come, and the voice of the turtle is heard in our land;
2.13 יג  הַתְּאֵנָה חָנְטָה פַגֶּיהָ, וְהַגְּפָנִים סְמָדַר נָתְנוּ רֵיחַ; קוּמִי לכי (לָךְ) רַעְיָתִי יָפָתִי, וּלְכִי-לָךְ.  {ס}	13 The fig-tree putteth forth her green figs, and the vines in blossom give forth their fragrance. Arise, my love, my fair one, and come away. {S}
2.14 יד  יוֹנָתִי בְּחַגְוֵי הַסֶּלַע, בְּסֵתֶר הַמַּדְרֵגָה, הַרְאִינִי אֶת-מַרְאַיִךְ, הַשְׁמִיעִנִי אֶת-קוֹלֵךְ:  כִּי-קוֹלֵךְ עָרֵב, וּמַרְאֵיךְ נָאוֶה.  {ס}	14 O my dove, that art in the clefts of the rock, in the covert of the cliff, let me see thy countenance, let me hear thy voice; for sweet is thy voice, and thy countenance is comely.' {S}
2.15 טו  אֶחֱזוּ-לָנוּ, שֻׁעָלִים--שֻׁעָלִים קְטַנִּים, מְחַבְּלִים כְּרָמִים; וּכְרָמֵינוּ, סְמָדַר.	15 'Take us the foxes, the little foxes, that spoil the vineyards; for our vineyards are in blossom.'
2.16 טז  דּוֹדִי לִי וַאֲנִי לוֹ, הָרֹעֶה בַּשּׁוֹשַׁנִּים.	16 My beloved is mine, and I am his, that feedeth among the lilies.
2.17 יז  עַד שֶׁיָּפוּחַ הַיּוֹם, וְנָסוּ הַצְּלָלִים:  סֹב דְּמֵה-לְךָ דוֹדִי לִצְבִי, אוֹ לְעֹפֶר הָאַיָּלִים--עַל-הָרֵי בָתֶר.  {ס}	17 Until the day breathe, and the shadows flee away, turn, my beloved, and be thou like a gazelle or a young hart upon the mountains of spices. {S}
3.1 א  עַל-מִשְׁכָּבִי, בַּלֵּילוֹת, בִּקַּשְׁתִּי, אֵת שֶׁאָהֲבָה נַפְשִׁי; בִּקַּשְׁתִּיו, וְלֹא מְצָאתִיו.	1 By night on my bed I sought him whom my soul loveth; I sought him, but I found him not.
3.2 ב  אָקוּמָה נָּא וַאֲסוֹבְבָה בָעִיר, בַּשְּׁוָקִים וּבָרְחֹבוֹת--אֲבַקְשָׁה, אֵת שֶׁאָהֲבָה נַפְשִׁי; בִּקַּשְׁתִּיו, וְלֹא מְצָאתִיו.	2 'I will rise now, and go about the city, in the streets and in the broad ways, I will seek him whom my soul loveth.' I sought him, but I found him not.
3.3 ג  מְצָאוּנִי, הַשֹּׁמְרִים, הַסֹּבְבִים, בָּעִיר:  אֵת שֶׁאָהֲבָה נַפְשִׁי, רְאִיתֶם.	3 The watchmen that go about the city found me: 'Saw ye him whom my soul loveth?'
3.4 ד  כִּמְעַט, שֶׁעָבַרְתִּי מֵהֶם, עַד שֶׁמָּצָאתִי, אֵת שֶׁאָהֲבָה נַפְשִׁי; אֲחַזְתִּיו, וְלֹא אַרְפֶּנּוּ--עַד-שֶׁהֲבֵיאתִיו אֶל-בֵּית אִמִּי, וְאֶל-חֶדֶר הוֹרָתִי.	4 Scarce had I passed from them, when I found him whom my soul loveth: I held him, and would not let him go, until I had brought him into my mother's house, and into the chamber of her that conceived me.
3.5 ה  הִשְׁבַּעְתִּי אֶתְכֶם בְּנוֹת יְרוּשָׁלִַם, בִּצְבָאוֹת, אוֹ, בְּאַיְלוֹת הַשָּׂדֶה:  אִם-תָּעִירוּ וְאִם-תְּעוֹרְרוּ אֶת-הָאַהֲבָה, עַד שֶׁתֶּחְפָּץ.  {ס}	5 'I adjure you, O daughters of Jerusalem, by the gazelles, and by the hinds of the field, that ye awaken not, nor stir up love, until it please.' {S}
3.6 ו  מִי זֹאת, עֹלָה מִן-הַמִּדְבָּר, כְּתִימְרוֹת, עָשָׁן:  מְקֻטֶּרֶת מֹר וּלְבוֹנָה, מִכֹּל אַבְקַת רוֹכֵל.	6 Who is this that cometh up out of the wilderness like pillars of smoke, perfumed with myrrh and frankincense, with all powders of the merchant?
3.7 ז  הִנֵּה, מִטָּתוֹ שֶׁלִּשְׁלֹמֹה--שִׁשִּׁים גִּבֹּרִים, סָבִיב לָהּ:  מִגִּבֹּרֵי, יִשְׂרָאֵל.	7 Behold, it is the litter of Solomon; threescore mighty men are about it, of the mighty men of Israel.
3.8 ח  כֻּלָּם אֲחֻזֵי חֶרֶב, מְלֻמְּדֵי מִלְחָמָה; אִישׁ חַרְבּוֹ עַל-יְרֵכוֹ, מִפַּחַד בַּלֵּילוֹת.  {ס}	8 They all handle the sword, and are expert in war; every man hath his sword upon his thigh, because of dread in the night. {S}
3.9 ט  אַפִּרְיוֹן, עָשָׂה לוֹ הַמֶּלֶךְ שְׁלֹמֹה--מֵעֲצֵי, הַלְּבָנוֹן.	9 King Solomon made himself a palanquin of the wood of Lebanon.
3.10 י  עַמּוּדָיו, עָשָׂה כֶסֶף, רְפִידָתוֹ זָהָב, מֶרְכָּבוֹ אַרְגָּמָן; תּוֹכוֹ רָצוּף אַהֲבָה, מִבְּנוֹת יְרוּשָׁלִָם.	10 He made the pillars thereof of silver, the top thereof of gold, the seat of it of purple, the inside thereof being inlaid with love, from the daughters of Jerusalem.
3.11 יא  צְאֶנָה וּרְאֶינָה בְּנוֹת צִיּוֹן, בַּמֶּלֶךְ שְׁלֹמֹה--בָּעֲטָרָה, שֶׁעִטְּרָה-לּוֹ אִמּוֹ בְּיוֹם חֲתֻנָּתוֹ, וּבְיוֹם, שִׂמְחַת לִבּוֹ.  {ס}	11 Go forth, O ye daughters of Zion, and gaze upon king Solomon, even upon the crown wherewith his mother hath crowned him in the day of his espousals, and in the day of the gladness of his heart. {S}
4.1 א  הִנָּךְ יָפָה רַעְיָתִי, הִנָּךְ יָפָה--עֵינַיִךְ יוֹנִים, מִבַּעַד לְצַמָּתֵךְ; שַׂעְרֵךְ כְּעֵדֶר הָעִזִּים, שֶׁגָּלְשׁוּ מֵהַר גִּלְעָד.	1 Behold, thou art fair, my love; behold, thou art fair; thine eyes are as doves behind thy veil; thy hair is as a flock of goats, that trail down from mount Gilead.
4.2 ב  שִׁנַּיִךְ כְּעֵדֶר הַקְּצוּבוֹת, שֶׁעָלוּ מִן-הָרַחְצָה:  שֶׁכֻּלָּם, מַתְאִימוֹת, וְשַׁכֻּלָה, אֵין בָּהֶם.	2 Thy teeth are like a flock of ewes all shaped alike, which are come up from the washing; whereof all are paired, and none faileth among them.
4.3 ג  כְּחוּט הַשָּׁנִי שִׂפְתוֹתַיִךְ, וּמִדְבָּרֵךְ נָאוֶה; כְּפֶלַח הָרִמּוֹן רַקָּתֵךְ, מִבַּעַד לְצַמָּתֵךְ.	3 Thy lips are like a thread of scarlet, and thy mouth is comely; thy temples are like a pomegranate split open behind thy veil.
4.4 ד  כְּמִגְדַּל דָּוִיד צַוָּארֵךְ, בָּנוּי לְתַלְפִּיּוֹת; אֶלֶף הַמָּגֵן תָּלוּי עָלָיו, כֹּל שִׁלְטֵי הַגִּבֹּרִים.	4 Thy neck is like the tower of David builded with turrets, whereon there hang a thousand shields, all the armour of the mighty men.
4.5 ה  שְׁנֵי שָׁדַיִךְ כִּשְׁנֵי עֳפָרִים, תְּאוֹמֵי צְבִיָּה, הָרוֹעִים, בַּשּׁוֹשַׁנִּים.	5 Thy two breasts are like two fawns that are twins of a gazelle, which feed among the lilies.
4.6 ו  עַד שֶׁיָּפוּחַ הַיּוֹם, וְנָסוּ הַצְּלָלִים--אֵלֶךְ לִי אֶל-הַר הַמּוֹר, וְאֶל-גִּבְעַת הַלְּבוֹנָה.	6 Until the day breathe, and the shadows flee away, I will get me to the mountain of myrrh, and to the hill of frankincense.
4.7 ז  כֻּלָּךְ יָפָה רַעְיָתִי, וּמוּם אֵין בָּךְ.  {ס}	7 Thou art all fair, my love; and there is no spot in thee. {S}
4.8 ח  אִתִּי מִלְּבָנוֹן כַּלָּה, אִתִּי מִלְּבָנוֹן תָּבוֹאִי; תָּשׁוּרִי מֵרֹאשׁ אֲמָנָה, מֵרֹאשׁ שְׂנִיר וְחֶרְמוֹן, מִמְּעֹנוֹת אֲרָיוֹת, מֵהַרְרֵי נְמֵרִים.	8 Come with me from Lebanon, my bride, with me from Lebanon; look from the top of Amana, from the top of Senir and Hermon, from the lions' dens, from the mountains of the leopards.
4.9 ט  לִבַּבְתִּנִי, אֲחֹתִי כַלָּה; לִבַּבְתִּנִי באחד (בְּאַחַת) מֵעֵינַיִךְ, בְּאַחַד עֲנָק מִצַּוְּרֹנָיִךְ.	9 Thou hast ravished my heart, my sister, my bride; thou hast ravished my heart with one of thine eyes, with one bead of thy necklace.
4.10 י  מַה-יָּפוּ דֹדַיִךְ, אֲחֹתִי כַלָּה; מַה-טֹּבוּ דֹדַיִךְ מִיַּיִן, וְרֵיחַ שְׁמָנַיִךְ מִכָּל-בְּשָׂמִים.	10 How fair is thy love, my sister, my bride! how much better is thy love than wine! and the smell of thine ointments than all manner of spices!
4.11 יא  נֹפֶת תִּטֹּפְנָה שִׂפְתוֹתַיִךְ, כַּלָּה; דְּבַשׁ וְחָלָב תַּחַת לְשׁוֹנֵךְ, וְרֵיחַ שַׂלְמֹתַיִךְ כְּרֵיחַ לְבָנוֹן.  {ס}	11 Thy lips, O my bride, drop honey--honey and milk are under thy tongue; and the smell of thy garments is like the smell of Lebanon. {S}
4.12 יב  גַּן נָעוּל, אֲחֹתִי כַלָּה; גַּל נָעוּל, מַעְיָן חָתוּם.	12 A garden shut up is my sister, my bride; a spring shut up, a fountain sealed.
4.13 יג  שְׁלָחַיִךְ פַּרְדֵּס רִמּוֹנִים, עִם פְּרִי מְגָדִים:  כְּפָרִים, עִם-נְרָדִים.	13 Thy shoots are a park of pomegranates, with precious fruits; henna with spikenard plants,
4.14 יד  נֵרְדְּ וְכַרְכֹּם, קָנֶה וְקִנָּמוֹן, עִם, כָּל-עֲצֵי לְבוֹנָה; מֹר, וַאֲהָלוֹת, עִם, כָּל-רָאשֵׁי בְשָׂמִים.	14 Spikenard and saffron, calamus and cinnamon, with all trees of frankincense; myrrh and aloes, with all the chief spices.
4.15 טו  מַעְיַן גַּנִּים, בְּאֵר מַיִם חַיִּים; וְנֹזְלִים, מִן-לְבָנוֹן.	15 Thou art a fountain of gardens, a well of living waters, and flowing streams from Lebanon.
4.16 טז  עוּרִי צָפוֹן וּבוֹאִי תֵימָן, הָפִיחִי גַנִּי יִזְּלוּ בְשָׂמָיו; יָבֹא דוֹדִי לְגַנּוֹ, וְיֹאכַל פְּרִי מְגָדָיו.	16 Awake, O north wind; and come, thou south; blow upon my garden, that the spices thereof may flow out. Let my beloved come into his garden, and eat his precious fruits.
5.1 א  בָּאתִי לְגַנִּי, אֲחֹתִי כַלָּה--אָרִיתִי מוֹרִי עִם-בְּשָׂמִי, אָכַלְתִּי יַעְרִי עִם-דִּבְשִׁי שָׁתִיתִי יֵינִי עִם-חֲלָבִי; אִכְלוּ רֵעִים, שְׁתוּ וְשִׁכְרוּ דּוֹדִים.  {ס}	1 I am come into my garden, my sister, my bride; I have gathered my myrrh with my spice; I have eaten my honeycomb with my honey; I have drunk my wine with my milk. Eat, O friends; drink, yea, drink abundantly, O beloved. {S}
5.2 ב  אֲנִי יְשֵׁנָה, וְלִבִּי עֵר; קוֹל דּוֹדִי דוֹפֵק, פִּתְחִי-לִי אֲחֹתִי רַעְיָתִי יוֹנָתִי תַמָּתִי--שֶׁרֹּאשִׁי נִמְלָא-טָל, קְוֻצּוֹתַי רְסִיסֵי לָיְלָה.	2 I sleep, but my heart waketh; Hark! my beloved knocketh: 'Open to me, my sister, my love, my dove, my undefiled; for my head is filled with dew, my locks with the drops of the night.'
5.3 ג  פָּשַׁטְתִּי, אֶת-כֻּתָּנְתִּי--אֵיכָכָה, אֶלְבָּשֶׁנָּה; רָחַצְתִּי אֶת-רַגְלַי, אֵיכָכָה אֲטַנְּפֵם.	3 I have put off my coat; how shall I put it on? I have washed my feet; how shall I defile them?
5.4 ד  דּוֹדִי, שָׁלַח יָדוֹ מִן-הַחֹר, וּמֵעַי, הָמוּ עָלָיו.	4 My beloved put in his hand by the hole of the door, and my heart was moved for him.
5.5 ה  קַמְתִּי אֲנִי, לִפְתֹּחַ לְדוֹדִי; וְיָדַי נָטְפוּ-מוֹר, וְאֶצְבְּעֹתַי מוֹר עֹבֵר, עַל, כַּפּוֹת הַמַּנְעוּל.	5 I rose up to open to my beloved; and my hands dropped with myrrh, and my fingers with flowing myrrh, upon the handles of the bar.
5.6 ו  פָּתַחְתִּי אֲנִי לְדוֹדִי, וְדוֹדִי חָמַק עָבָר; נַפְשִׁי, יָצְאָה בְדַבְּרוֹ--בִּקַּשְׁתִּיהוּ וְלֹא מְצָאתִיהוּ, קְרָאתִיו וְלֹא עָנָנִי.	6 I opened to my beloved; but my beloved had turned away, and was gone. My soul failed me when he spoke. I sought him, but I could not find him; I called him, but he gave me no answer.
5.7 ז  מְצָאֻנִי הַשֹּׁמְרִים הַסֹּבְבִים בָּעִיר, הִכּוּנִי פְצָעוּנִי; נָשְׂאוּ אֶת-רְדִידִי מֵעָלַי, שֹׁמְרֵי הַחֹמוֹת.	7 The watchmen that go about the city found me, they smote me, they wounded me; the keepers of the walls took away my mantle from me.
5.8 ח  הִשְׁבַּעְתִּי אֶתְכֶם, בְּנוֹת יְרוּשָׁלִָם:  אִם-תִּמְצְאוּ, אֶת-דּוֹדִי--מַה-תַּגִּידוּ לוֹ, שֶׁחוֹלַת אַהֲבָה אָנִי.	8 'I adjure you, O daughters of Jerusalem, if ye find my beloved, what will ye tell him? that I am love-sick.'
5.9 ט  מַה-דּוֹדֵךְ מִדּוֹד, הַיָּפָה בַּנָּשִׁים:  מַה-דּוֹדֵךְ מִדּוֹד, שֶׁכָּכָה הִשְׁבַּעְתָּנוּ.	9 'What is thy beloved more than another beloved, O thou fairest among women? What is thy beloved more than another beloved, that thou dost so adjure us?'
5.10 י  דּוֹדִי צַח וְאָדוֹם, דָּגוּל מֵרְבָבָה.	10 'My beloved is white and ruddy, pre-eminent above ten thousand.
5.11 יא  רֹאשׁוֹ, כֶּתֶם פָּז; קְוֻצּוֹתָיו, תַּלְתַּלִּים, שְׁחֹרוֹת, כָּעוֹרֵב.	11 His head is as the most fine gold, his locks are curled, and black as a raven.
5.12 יב  עֵינָיו, כְּיוֹנִים עַל-אֲפִיקֵי מָיִם; רֹחֲצוֹת, בֶּחָלָב--יֹשְׁבוֹת, עַל-מִלֵּאת.	12 His eyes are like doves beside the water-brooks; washed with milk, and fitly set.
5.13 יג  לְחָיָו כַּעֲרוּגַת הַבֹּשֶׂם, מִגְדְּלוֹת מֶרְקָחִים; שִׂפְתוֹתָיו, שׁוֹשַׁנִּים--נֹטְפוֹת, מוֹר עֹבֵר.	13 His cheeks are as a bed of spices, as banks of sweet herbs; his lips are as lilies, dropping with flowing myrrh.
5.14 יד  יָדָיו גְּלִילֵי זָהָב, מְמֻלָּאִים בַּתַּרְשִׁישׁ; מֵעָיו עֶשֶׁת שֵׁן, מְעֻלֶּפֶת סַפִּירִים.	14 His hands are as rods of gold set with beryl; his body is as polished ivory overlaid with sapphires.
5.15 טו  שׁוֹקָיו עַמּוּדֵי שֵׁשׁ, מְיֻסָּדִים עַל-אַדְנֵי-פָז; מַרְאֵהוּ, כַּלְּבָנוֹן--בָּחוּר, כָּאֲרָזִים.	15 His legs are as pillars of marble, set upon sockets of fine gold; his aspect is like Lebanon, excellent as the cedars.
5.16 טז  חִכּוֹ, מַמְתַקִּים, וְכֻלּוֹ, מַחֲמַדִּים; זֶה דוֹדִי וְזֶה רֵעִי, בְּנוֹת יְרוּשָׁלִָם.	16 His mouth is most sweet; yea, he is altogether lovely. This is my beloved, and this is my friend, O daughters of Jerusalem.'
6.1 א  אָנָה הָלַךְ דּוֹדֵךְ, הַיָּפָה בַּנָּשִׁים; אָנָה פָּנָה דוֹדֵךְ, וּנְבַקְשֶׁנּוּ עִמָּךְ.	1 'Whither is thy beloved gone, O thou fairest among women? Whither hath thy beloved turned him, that we may seek him with thee?'
6.2 ב  דּוֹדִי יָרַד לְגַנּוֹ, לַעֲרֻגוֹת הַבֹּשֶׂם--לִרְעוֹת, בַּגַּנִּים, וְלִלְקֹט, שׁוֹשַׁנִּים.	2 'My beloved is gone down into his garden, to the beds of spices, to feed in the gardens, and to gather lilies.
6.3 ג  אֲנִי לְדוֹדִי וְדוֹדִי לִי, הָרֹעֶה בַּשּׁוֹשַׁנִּים.  {ס}	3 I am my beloved's, and my beloved is mine, that feedeth among the lilies.' {S}
6.4 ד  יָפָה אַתְּ רַעְיָתִי כְּתִרְצָה, נָאוָה כִּירוּשָׁלִָם; אֲיֻמָּה, כַּנִּדְגָּלוֹת.	4 Thou art beautiful, O my love, as Tirzah, comely as Jerusalem, terrible as an army with banners.
6.5 ה  הָסֵבִּי עֵינַיִךְ מִנֶּגְדִּי, שֶׁהֵם הִרְהִיבֻנִי; שַׂעְרֵךְ כְּעֵדֶר הָעִזִּים, שֶׁגָּלְשׁוּ מִן-הַגִּלְעָד.	5 Turn away thine eyes from me, for they have overcome me. Thy hair is as a flock of goats, that trail down from Gilead.
6.6 ו  שִׁנַּיִךְ כְּעֵדֶר הָרְחֵלִים, שֶׁעָלוּ מִן-הָרַחְצָה:  שֶׁכֻּלָּם, מַתְאִימוֹת, וְשַׁכֻּלָה, אֵין בָּהֶם.	6 Thy teeth are like a flock of ewes, which are come up from the washing; whereof all are paired, and none faileth among them.
6.7 ז  כְּפֶלַח הָרִמּוֹן רַקָּתֵךְ, מִבַּעַד לְצַמָּתֵךְ.	7 Thy temples are like a pomegranate split open behind thy veil.
6.8 ח  שִׁשִּׁים הֵמָּה מְלָכוֹת, וּשְׁמֹנִים פִּילַגְשִׁים; וַעֲלָמוֹת, אֵין מִסְפָּר.	8 There are threescore queens, and fourscore concubines, and maidens without number.
6.9 ט  אַחַת הִיא, יוֹנָתִי תַמָּתִי--אַחַת הִיא לְאִמָּהּ, בָּרָה הִיא לְיוֹלַדְתָּהּ; רָאוּהָ בָנוֹת וַיְאַשְּׁרוּהָ, מְלָכוֹת וּפִילַגְשִׁים וַיְהַלְלוּהָ.  {ס}	9 My dove, my undefiled, is but one; she is the only one of her mother; she is the choice one of her that bore her. The daughters saw her, and called her happy; yea, the queens and the concubines, and they praised her. {S}
6.10 י  מִי-זֹאת הַנִּשְׁקָפָה, כְּמוֹ-שָׁחַר:  יָפָה כַלְּבָנָה, בָּרָה כַּחַמָּה--אֲיֻמָּה, כַּנִּדְגָּלוֹת.  {ס}	10 Who is she that looketh forth as the dawn, fair as the moon, clear as the sun, terrible as an army with banners? {S}
6.11 יא  אֶל-גִּנַּת אֱגוֹז יָרַדְתִּי, לִרְאוֹת בְּאִבֵּי הַנָּחַל; לִרְאוֹת הֲפָרְחָה הַגֶּפֶן, הֵנֵצוּ הָרִמֹּנִים.	11 I went down into the garden of nuts, to look at the green plants of the valley, to see whether the vine budded, and the pomegranates were in flower.
6.12 יב  לֹא יָדַעְתִּי--נַפְשִׁי שָׂמַתְנִי, מַרְכְּבוֹת עַמִּי נָדִיב.	12 Before I was aware, my soul set me upon the chariots of my princely people.
6.1 א  שׁוּבִי שׁוּבִי הַשּׁוּלַמִּית, שׁוּבִי שׁוּבִי וְנֶחֱזֶה-בָּךְ; מַה-תֶּחֱזוּ, בַּשּׁוּלַמִּית, כִּמְחֹלַת, הַמַּחֲנָיִם.	1 Return, return, O Shulammite; Return, return, that we may look upon thee. What will ye see in the Shulammite? As it were a dance of two companies.
7.2 ב  מַה-יָּפוּ פְעָמַיִךְ בַּנְּעָלִים, בַּת-נָדִיב; חַמּוּקֵי יְרֵכַיִךְ--כְּמוֹ חֲלָאִים, מַעֲשֵׂה יְדֵי אָמָּן.	2 How beautiful are thy steps in sandals, O prince's daughter! The roundings of thy thighs are like the links of a chain, the work of the hands of a skilled workman.
7.3 ג  שָׁרְרֵךְ אַגַּן הַסַּהַר, אַל-יֶחְסַר הַמָּזֶג; בִּטְנֵךְ עֲרֵמַת חִטִּים, סוּגָה בַּשּׁוֹשַׁנִּים.	3 Thy navel is like a round goblet, wherein no mingled wine is wanting; thy belly is like a heap of wheat set about with lilies.
