1.1 א  וַיְהִי, דְּבַר-יְהוָה, אֶל-יוֹנָה בֶן-אֲמִתַּי, לֵאמֹר.	1 Now the word of the LORD came unto Jonah the son of Amittai, saying:
4.2 ב  וַיִּתְפַּלֵּל אֶל-יְהוָה וַיֹּאמַר, אָנָּה יְהוָה הֲלוֹא-זֶה דְבָרִי עַד-הֱיוֹתִי עַל-אַדְמָתִי--עַל-כֵּן קִדַּמְתִּי, לִבְרֹחַ תַּרְשִׁישָׁה:  כִּי יָדַעְתִּי, כִּי אַתָּה אֵל-חַנּוּן וְרַחוּם, אֶרֶךְ אַפַּיִם וְרַב-חֶסֶד, וְנִחָם עַל-הָרָעָה.	2 And he prayed unto the LORD, and said: 'I pray Thee, O LORD, was not this my saying, when I was yet in mine own country? Therefore I fled beforehand unto Tarshish; for I knew that Thou art a gracious God, and compassionate, long-suffering, and abundant in mercy, and repentest Thee of the evil.
4.3 ג  וְעַתָּה יְהוָה, קַח-נָא אֶת-נַפְשִׁי מִמֶּנִּי:  כִּי טוֹב מוֹתִי, מֵחַיָּי.  {ס}	3 Therefore now, O LORD, take, I beseech Thee, my life from me; for it is better for me to die than to live.' {S}
4.4 ד  וַיֹּאמֶר יְהוָה, הַהֵיטֵב חָרָה לָךְ.	4 And the LORD said: 'Art thou greatly angry?'
4.5 ה  וַיֵּצֵא יוֹנָה מִן-הָעִיר, וַיֵּשֶׁב מִקֶּדֶם לָעִיר; וַיַּעַשׂ לוֹ שָׁם סֻכָּה, וַיֵּשֶׁב תַּחְתֶּיהָ בַּצֵּל, עַד אֲשֶׁר יִרְאֶה, מַה-יִּהְיֶה בָּעִיר.	5 Then Jonah went out of the city, and sat on the east side of the city, and there made him a booth, and sat under it in the shadow, till he might see what would become of the city.
4.6 ו  וַיְמַן יְהוָה-אֱלֹהִים קִיקָיוֹן וַיַּעַל מֵעַל לְיוֹנָה, לִהְיוֹת צֵל עַל-רֹאשׁוֹ, לְהַצִּיל לוֹ, מֵרָעָתוֹ; וַיִּשְׂמַח יוֹנָה עַל-הַקִּיקָיוֹן, שִׂמְחָה גְדוֹלָה.	6 And the LORD God prepared a gourd, and made it to come up over Jonah, that it might be a shadow over his head, to deliver him from his evil. So Jonah was exceeding glad because of the gourd.
4.7 ז  וַיְמַן הָאֱלֹהִים תּוֹלַעַת, בַּעֲלוֹת הַשַּׁחַר לַמָּחֳרָת; וַתַּךְ אֶת-הַקִּיקָיוֹן, וַיִּיבָשׁ.	7 But God prepared a worm when the morning rose the next day, and it smote the gourd, that it withered.
4.8 ח  וַיְהִי כִּזְרֹחַ הַשֶּׁמֶשׁ, וַיְמַן אֱלֹהִים רוּחַ קָדִים חֲרִישִׁית, וַתַּךְ הַשֶּׁמֶשׁ עַל-רֹאשׁ יוֹנָה, וַיִּתְעַלָּף; וַיִּשְׁאַל אֶת-נַפְשׁוֹ, לָמוּת, וַיֹּאמֶר, טוֹב מוֹתִי מֵחַיָּי.	8 And it came to pass, when the sun arose, that God prepared a vehement east wind; and the sun beat upon the head of Jonah, that he fainted, and requested for himself that he might die, and said: 'It is better for me to die than to live.'
4.9 ט  וַיֹּאמֶר אֱלֹהִים אֶל-יוֹנָה, הַהֵיטֵב חָרָה-לְךָ עַל-הַקִּיקָיוֹן; וַיֹּאמֶר, הֵיטֵב חָרָה-לִי עַד-מָוֶת.	9 And God said to Jonah: 'Art thou greatly angry for the gourd?' And he said: 'I am greatly angry, even unto death.'
4.10 י  וַיֹּאמֶר יְהוָה--אַתָּה חַסְתָּ עַל-הַקִּיקָיוֹן, אֲשֶׁר לֹא-עָמַלְתָּ בּוֹ וְלֹא גִדַּלְתּוֹ:  שֶׁבִּן-לַיְלָה הָיָה, וּבִן-לַיְלָה אָבָד.	10 And the LORD said: 'Thou hast had pity on the gourd, for which thou hast not laboured, neither madest it grow, which came up in a night, and perished in a night;
4.11 יא  וַאֲנִי לֹא אָחוּס, עַל-נִינְוֵה הָעִיר הַגְּדוֹלָה--אֲשֶׁר יֶשׁ-בָּהּ הַרְבֵּה מִשְׁתֵּים-עֶשְׂרֵה רִבּוֹ אָדָם, אֲשֶׁר לֹא-יָדַע בֵּין-יְמִינוֹ לִשְׂמֹאלוֹ, וּבְהֵמָה, רַבָּה.  {ש}	11 and should not I have pity on Nineveh, that great city, wherein are more than sixscore thousand persons that cannot discern between their right hand and their left hand, and also much cattle?' {P}
